,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
157,BMW 7 Series 750Li Sedan,65000,1,0,2008,10,61
158,Maruti Suzuki Ciaz Alpha 1.4 AT,38500,1,0,2020,8.85,543
159,Maruti Suzuki Wagon R 1.0 LXI CNG,20583,3,12,2018,4.84,641
160,Skoda Rapid Style 1.5 TDI AT,81325,0,7,2016,7.15,780
161,Maruti Suzuki Baleno Zeta 1.2,35000,1,0,2017,5.9,520
162,Maruti Suzuki Celerio VXi AMT ABS,25000,1,6,2015,4.85,528
163,Honda Jazz V Petrol,37993,1,4,2015,4.62,193
164,Land Rover Discovery Sport HSE 7-Seater,21693,0,7,2018,34.99,412
165,Hyundai Creta SX 1.6 (O) Petrol,63194,1,13,2018,10.25,225
166,Hyundai i10 1.2 L Kappa Magna Special Edition,60000,1,13,2009,1.8,338
167,Honda City VX CVT Petrol [2017-2019],70000,Petrol ,1,2018,12,175
168,Tata Hexa XTA 4x2 6 STR,51000,Diesel ,1,2018,16,805
169,Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],22024,1,13,2019,8.3,240
170,Skoda Octavia 2.0 TDI L&K,35793,0,6,2017,20.95,769
171,Hyundai Tucson GLS 4WD AT Diesel,75400,0,12,2017,19.25,302
172,Maruti Suzuki Swift Dzire LDI,84996,0,6,2016,4.75,613
173,Maruti Suzuki Swift VXi,74767,1,8,2015,4.6,620
174,Honda Amaze 1.2 EX i-VTEC,63956,1,5,2013,3.42,130
175,Maruti Suzuki Wagon R 1.0 LXI CNG,48000,3,13,2017,4.5,641
176,Renault Duster 85 PS RxL Diesel,48330,0,2,2014,6.85,733
177,Maruti Suzuki Alto 800 Vxi,93150,1,7,2014,2.1,498
178,BMW X3 xDrive 30d M Sport [2015-2017],69499,0,6,2016,41,68
179,Mahindra TUV300 T8 AMT mHAWK100,75000,0,9,2016,5.45,467
180,Kia Carnival Prestige 7 STR,13748,0,2,2021,34.99,386
181,Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],30672,1,2,2019,10.75,545
182,Jeep Compass Limited Plus Diesel [2018-2020],64683,0,2,2019,17.99,376
183,Maruti Suzuki Baleno Alpha 1.2,69886,1,8,2019,7.11,509
184,Audi Q5 2.0 TDI quattro Premium,34000,0,7,2014,21.5,35
185,Hyundai Creta SX 1.6 Petrol,62137,1,2,2019,11.49,230
186,Maruti Suzuki Baleno Alpha 1.2,56800,1,4,2016,5.24,509
187,Hyundai Xcent S 1.2,42382,1,13,2015,4.75,330
188,Maruti Suzuki Wagon R 1.0 VXI,66794,1,7,2018,3.9,646
189,Honda City V CVT Petrol [2017-2019],19600,1,0,2020,11.5,169
190,Mercedes-Benz S-Class 350 CDI L,85489,0,6,2011,19,699
191,Renault Triber RXZ EASY-R AMT,19784,1,8,2020,7.5,757
192,Honda City ZX CVT Petrol,19238,1,8,2020,12.85,177
193,Maruti Suzuki Swift VXi,78518,1,6,2013,4.2,620
194,Hyundai Creta E Plus 1.6 Petrol,54104,1,8,2017,8.55,219
195,Renault Duster 85 PS RXS 4X2 MT Diesel,55300,0,2,2018,8.99,731
196,Renault Kwid 1.0 RXT Opt [2016-2019],40397,1,3,2018,3.48,743
197,Mahindra XUV500 W8,87527,0,8,2015,8.11,486
198,Toyota Glanza V,63000,1,0,2019,6.75,879
199,Maruti Suzuki Swift VDi ABS [2014-2017],83647,0,12,2016,5.67,619
200,Isuzu MU-X 4x2,75592,0,6,2018,21,364
201,Renault Duster 85 PS RxL Diesel (Opt),57660,0,8,2012,4.75,734
202,Honda Amaze 1.2 VX MT Petrol [2018-2020],42277,1,9,2018,6.85,140
203,Maruti Suzuki S-Presso VXi Plus,2600,1,0,2022,5.25,606
204,Volvo XC90 D5 AWD,51000,0,0,2014,22.57,945
205,Hyundai Grand i10 Asta 1.2 Kappa VTVT,19630,1,8,2017,5.75,266
206,Honda City VX,42218,1,8,2016,7.45,172
207,Toyota Glanza G,69553,1,3,2019,7.08,877
208,Maruti Suzuki Alto K10 VXi AMT [2014-2018],48448,1,4,2017,3.38,506
209,Tata Tiago Revotron XT [2016-2019],60167,1,4,2019,4.84,840
210,Honda City 1.5 V MT,61000,1,9,2012,3.95,157
211,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,26282,1,12,2015,4.34,283
212,Mercedes-Benz E-Class E 220 d Avantgarde,19070,0,2,2019,61.75,679
213,Audi A4 3.0 TDI quattro Technology Pack,67262,0,3,2018,32,12
214,Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],5814,1,7,2020,8.72,546
215,Skoda Rapid Ultima Elegance 1.6 TDI CR MT,76810,0,7,2017,6.5,784
216,Honda Amaze 1.5 VX i-DTEC,63587,0,8,2015,4.95,144
217,Kia Seltos GTX Plus AT 1.4 [2019-2020],28000,1,7,2019,15.25,393
218,Honda Amaze 1.5 S i-DTEC,42637,0,2,2014,4.99,143
219,Maruti Suzuki Wagon R 1.0 VXI,52775,1,12,2017,4.32,646
220,Maruti Suzuki Ciaz Zeta Hybrid 1.5 AT [2018-2020],21809,1,13,2019,8.5,565
221,Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,45689,1,8,2016,7.25,935
222,Maruti Suzuki Celerio ZXi [2017-2019],34251,1,12,2017,4.33,541
223,Maruti Suzuki Ertiga VXI CNG,55000,3,13,2016,7.2,580
224,Skoda Rapid Ambition 1.6 TDI CR MT,95004,0,6,2018,9.25,778
225,Tata Harrier XZ [2019-2020],20856,0,2,2019,16.95,801
226,Maruti Suzuki Dzire ZXi Plus AMT,11800,1,3,2020,8.75,575
227,Maruti Suzuki Baleno Delta 1.2,32897,1,12,2016,5.1,512
228,Mahindra TUV300 T8,47107,0,4,2016,5.65,466
229,Maruti Suzuki Alto K10 VXi,76614,1,12,2011,2.25,502
230,Audi Q3 35 TDI quattro Premium Plus,32345,0,7,2018,19.99,32
231,Jaguar XE Portfolio Diesel,35491,0,2,2018,37.75,365
232,Toyota Innova Crysta ZX 2.4 AT 7 STR,22562,0,6,2021,32.5,893
233,Maruti Suzuki Ciaz Delta 1.3 Diesel,49908,0,8,2018,7.45,547
234,MINI Cooper JCW Hatchback,2482,1,8,2021,44,445
235,Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,9000,0,1,2020,23,375
236,Volkswagen Polo Comfortline 1.2L (P),27700,1,13,2015,4.65,912
237,Maruti Suzuki Wagon R LXi Minor,49000,1,13,2009,1.8,653
238,Maruti Suzuki Ignis Delta 1.2 MT,12104,1,7,2018,4.53,592
239,Hyundai Xcent SX 1.2,28646,1,12,2016,5.34,334
240,Maruti Suzuki Alto 800 Lxi,35965,1,7,2014,2.05,495
241,Mercedes-Benz E-Class E350 CDI BlueEfficiency,64000,0,6,2010,15.5,684
242,Maruti Suzuki Baleno Zeta 1.2,5288,1,13,2020,7.35,520
243,Volvo S60 Kinetic D4,90604,0,6,2017,17.9,939
244,Maruti Suzuki Estilo VXi ABS BS-IV,68000,Petrol ,14,2011,2.25,590
245,Hyundai i20 Asta (O) 1.2 MT,32243,1,6,2020,8.5,350
246,Maruti Suzuki Ciaz Delta 1.4 MT,33823,1,4,2017,6.87,550
247,Maruti Suzuki Swift VXi AMT [2018-2019],25412,1,7,2018,5.38,623
248,BMW 3 Series Gran Limousine 320Ld Luxury Line,22600,0,3,2021,57.5,51
249,Honda City V CVT Petrol [2017-2019],56468,1,0,2017,8.3,169
250,Ford Figo Duratec Petrol EXI 1.2,73000,Petrol ,11,2011,2.4,120
251,Honda City SV,24751,1,7,2018,6.3,164
252,Audi TT 45 TFSI,9865,1,0,2016,46,43
253,Maruti Suzuki Celerio ZXi AMT [2019-2020],29646,1,13,2016,4.75,540
254,BMW X1 sDrive20d Expedition,55000,0,8,2017,21.75,64
255,Volvo S90 D4 Inscription,15446,0,6,2020,59,940
256,Maruti Suzuki Celerio VXi AMT ABS,24595,1,8,2016,4.45,528
257,Hyundai Creta 1.6 S Plus AT,97761,0,12,2016,9.98,209
258,Maruti Suzuki Celerio VXi,47000,1,6,2020,5.65,524
259,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],66471,1,4,2017,4.85,288
260,Datsun redi-GO S [2016-2019],37000,1,0,2019,3.25,87
261,Kia Seltos GTX Plus 1.4 [2020-2021],28100,1,0,2020,16.9,392
262,Skoda Octavia Elegance 2.0 TDI AT,63000,0,4,2014,7.99,771
263,Maruti Suzuki Wagon R 1.0 LXI CNG (O),26600,3,12,2016,4.3,642
264,Mahindra XUV500 W8,55105,0,7,2013,5.75,486
265,Hyundai Eon Era +,42748,1,3,2017,3.3,263
266,Audi Q7 45 TDI Technology Pack,51000,0,0,2018,59.5,41
267,Audi A6 35 TDI Matrix,76000,0,0,2018,25,20
268,Hyundai Elite i20 Sportz 1.2,35247,1,12,2017,6.13,254
269,Hyundai Elite i20 Sportz 1.2,30183,1,7,2019,5.59,254
270,Mercedes-Benz GLS 350 d,88000,0,6,2018,68,697
271,MG Hector Sharp 1.5 DCT Petrol [2019-2020],7870,1,7,2021,16.99,434
272,Mahindra XUV500 W10,50000,0,3,2018,14.9,479
